Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.11092,-0.056158,-0.0017147,0,0,0,18.16,0.21011,3.1145E-06,2.7822E-08,0.30833,-5.7892E-06,0.15429,0,0,0,0,0,0,package://rover_chassis_1/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rover_chassis_1/meshes/base_link.STL,,Full_Frame_Shell_Assembly-1;Assemblage1-3/Mounted Bearing Bars 3-4;Assemblage1-3/5913K72_Low-Profile Mounted Sealed Steel Ball Bearing-1;Assemblage1-3/Mounted Bearing Bars 3-3;Assemblage1-1/Mounted Bearing Bars 3-1;Assemblage1-1/5913K72_Low-Profile Mounted Sealed Steel Ball Bearing-2;Assemblage1-1/Mounted Bearing Bars 3-2;Assemblage1-1/Mounted Bearing Bars 3-4;Assemblage1-1/Mounted Bearing Bars 3-3;Assemblage1-1/5913K72_Low-Profile Mounted Sealed Steel Ball Bearing-1;BogieSubAssembly-3/58Shaft-1;Assemblage1-3/Mounted Bearing Bars 3-1;Assemblage1-3/5913K72_Low-Profile Mounted Sealed Steel Ball Bearing-2;Assemblage1-3/Mounted Bearing Bars 3-2;BogieSubAssembly-2/58Shaft-1;Assemblage1-2/Mounted Bearing Bars 3-3;Assemblage1-2/5913K72_Low-Profile Mounted Sealed Steel Ball Bearing-1;Assemblage1-2/Mounted Bearing Bars 3-4;Assemblage1-2/Mounted Bearing Bars 3-2;Assemblage1-2/Mounted Bearing Bars 3-1;BogieSubAssembly-1/58Shaft-1;Assemblage1-2/5913K72_Low-Profile Mounted Sealed Steel Ball Bearing-2,base_CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_leftleg,-0.00270298884989145,-0.163722072502178,-0.00766849190879265,0,0,0,4.3993316672665,0.00776756822390144,0.000120815726821934,-8.00953090244139E-18,0.0151065650623792,-4.11766808736305E-19,0.0183559508070907,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_leftleg.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_leftleg.STL,,BogieSubAssembly-2/ConnectorDesign7-1;BogieSubAssembly-2/ConnectorDesign7-2-1;BogieSubAssembly-2/BogieLeg4Revised-1;BogieSubAssembly-2/BogieLeg4Revised-2;Finalmotorclamppart2-3;MotorSimple-3;Finalmotorclamppart1-3;Finalmotorclamppart2-4;MotorSimple-4;Finalmotorclamppart1-4,leftleg_CS,leftleg_axis,joint_leftleg,continuous,-0.1973,-0.072136,0.33731,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
link_frontleft,-2.7756E-17,0,-0.0508,0,0,0,0.5,0.02012,5.3993E-19,1.0292E-18,0.02012,3.0057E-18,0.032415,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_frontleft.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_frontleft.STL,,WheelSimple-3,frontleft_CS,frontleft_axis,joint_frontleft,continuous,-0.22746,-0.23818,0.16865,0,0,0,link_leftleg,0,0,-1,,,,,,,,,,,,
link_midleft,0,0,-0.0508,0,0,0,0.5,0.02012,-1.0927E-20,-7.583E-19,0.02012,3.0972E-18,0.032415,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_midleft.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_midleft.STL,,WheelSimple-4,midleft_CS,midleft_axis,joint_midleft,continuous,0.21944,-0.24559,0.16865,0,0,0,link_leftleg,0,0,-1,,,,,,,,,,,,
link_backleg,-0.00645819164105932,-0.15937799486982,0.00168177021322908,0,0,0,3.80037654221698,0.0185246916858141,-8.5081982783741E-19,8.91166532939147E-18,0.0143956454819237,-8.95899346777433E-05,0.00590623155408569,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_backleg.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_backleg.STL,,BogieSubAssembly-3/ConnectorDesign7-1;BogieSubAssembly-3/ConnectorDesign7-2-1;BogieSubAssembly-3/BogieLeg4Revised-1;BogieSubAssembly-3/BogieLeg4Revised-2;MotorSimple-6;Finalmotorclamppart3-1;Finalmotorclamppart1-6;MotorSimple-5;Finalmotorclamppart3-2;Finalmotorclamppart1-5,backleg_CS,backleg_axis,joint_backleg,continuous,0.37321,-0.072136,0,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
link_backleft,2.6645E-15,-0.00053603,-0.050797,0,0,0,0.5,0.02012,-1.6899E-19,-9.2825E-18,0.020122,0.00012972,0.032413,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_backleft.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_backleft.STL,,WheelSimple-5,backleft_CS,backleft_axis,joint_backleft,continuous,-0.00635,-0.23639,0.44739,0,0,0,link_backleg,0,-0.010552,-0.99994,,,,,,,,,,,,
link_backright,-1.1102E-16,0.00053603,0.050797,0,0,0,0.5,0.02012,-5.8E-20,-6.1881E-18,0.020122,0.00012972,0.032413,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_backright.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_backright.STL,,WheelSimple-6,backright_CS,backright_axis,joint_backright,continuous,-0.00635,-0.24578,-0.4423,0,0,0,link_backleg,0,0.010552,0.99994,,,,,,,,,,,,
link_rightleg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_rightleg.STL,1,1,1,1,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_rightleg.STL,,BogieSubAssembly-1/ConnectorDesign7-1;BogieSubAssembly-1/BogieLeg4Revised-2;BogieSubAssembly-1/BogieLeg4Revised-1;Finalmotorclamppart2-2;MotorSimple-1;Finalmotorclamppart2-1;MotorSimple-2;Finalmotorclamppart1-1;Finalmotorclamppart1-2;BogieSubAssembly-1/ConnectorDesign7-2-1,rightlet_CS,rightleg_axis,joint_rightleg,continuous,-0.1973,-0.072136,-0.33731,0,0,0,base_link,0,0,1,,,,,,,,,,,,
link_frontright,1.3878E-16,-2.2204E-16,0.0508,0,0,0,0.5,0.02012,-1.4687E-18,-3.2577E-19,0.02012,-1.2546E-17,0.032415,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_frontright.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_frontright.STL,,WheelSimple-2,frontright_CS,frontright_axis,joint_frontright,continuous,-0.22091,-0.24426,-0.16865,0,0,0,link_rightleg,0,0,1,,,,,,,,,,,,
link_midright,-1.1102E-16,-5.5511E-17,0.0508,0,0,0,0.5,0.02012,3.9555E-19,-7.2236E-19,0.02012,-1.2774E-17,0.032415,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_midright.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://rover_chassis_1/meshes/link_midright.STL,,WheelSimple-1,midright_CS,midright_axis,joint_midright,continuous,0.22602,-0.23955,-0.16865,0,0,0,link_rightleg,0,0,1,,,,,,,,,,,,
