Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Chassis_Frame,0.019745,-0.0030165,0.68744,0,0,0,16.261,0.13729,5.7892E-06,8.1421E-07,0.28071,1.9925E-06,0.19755,0,0,0,0,0,0,package://Full_Assembly/meshes/Chassis_Frame.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Full_Assembly/meshes/Chassis_Frame.STL,,Full_Frame_Shell_Assembly-1/Top_Panel_1-2;Full_Frame_Shell_Assembly-1/Front_Panel-1;Full_Frame_Shell_Assembly-1/Side_Panel_1-1;Full_Frame_Shell_Assembly-1/Base PlateREV2REV3-1;Assemblage1-2/Mounted Bearing Bars 3-4;Assemblage1-2/Mounted Bearing Bars 3-3;Assemblage1-1/Mounted Bearing Bars 3-1;Assemblage1-1/Mounted Bearing Bars 3-2;Assemblage1-3/Mounted Bearing Bars 3-4;Assemblage1-3/Mounted Bearing Bars 3-3;Full_Frame_Shell_Assembly-1/Bottom_Panel-1;Full_Frame_Shell_Assembly-1/Back_Panel-1;Full_Frame_Shell_Assembly-1/medium-segment_5-1;Full_Frame_Shell_Assembly-1/medium-segment_6-1;Full_Frame_Shell_Assembly-1/medium-segment_1-1;full-arm-assembly-REV3-1/axis2-assemblyREV2REV3-1/Axis 1 AssemblyREV2REV3-1/Base PlateREV2REV3-2;Full_Frame_Shell_Assembly-1/Top_Panel_2-2;Full_Frame_Shell_Assembly-1/elec-box-1;Full_Frame_Shell_Assembly-1/Side_Panel_2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_Bogie,0.0073281,0.26318,-0.17042,0,0,0,3.3412,0.0081828,8.0231E-09,8.4738E-11,0.0056985,0.0010554,0.0069193,0,0,0,0,0,0,package://Full_Assembly/meshes/Left_Bogie.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Full_Assembly/meshes/Left_Bogie.STL,,SideBogie3-1/BogieSubAssembly-1/BogieLeg4Revised-2;SideBogie3-1/Finalmotorclamppart1-2;SideBogie3-1/BogieSubAssembly-1/BogieLeg4Revised-1;SideBogie3-1/Finalmotorclamppart2-1;SideBogie3-1/MotorSimple-1;SideBogie3-1/Finalmotorclamppart2-2;SideBogie3-1/MotorSimple-2;SideBogie3-1/Finalmotorclamppart1-1;SideBogie3-1/BogieSubAssembly-1/ConnectorDesign7-1;Assemblage1-3/5913K72_Low-Profile Mounted Sealed Steel Ball Bearing-1;SideBogie3-1/BogieSubAssembly-1/ConnectorDesign7-2-1;SideBogie3-1/BogieSubAssembly-1/58Shaft-1,Origin_Left_Connect,Axis_Left_Connect,Left_Connect,fixed,-0.3042,-0.049685,-0.1836,0.51305,0,3.1416,Chassis_Frame,0,0.87125,-0.49083,0,0,0,0,,,,,,,,
Left_Bogie_Front_Wheel,0.130564845809255,0.0138364458137181,0.0507999999999999,0,0,0,4.54890356187038,0.0201202982558325,4.33680868994202E-19,-7.49449804390759E-19,0.0201202982558325,3.12256934504413E-18,0.0324145415197282,0,0,0,0,0,0,package://Full_Assembly/meshes/Left_Bogie_Front_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full_Assembly/meshes/Left_Bogie_Front_Wheel.STL,,SideBogie3-1/WheelSimple-1,Origin_Left_Connect_Front,Axis_Left_Connect_Front,Left_Connect_Front,continuous,0.082925,-0.074392,-0.045555,1.5708,0.61863,1.5708,Left_Bogie,0.99443,0.10538,0,0,0,0,0,,,,,,,,
Left_Bogie_Back_Wheel,0.11938,-5.55111512312578E-17,-0.0508000000000001,0,0,0,4.54890356187038,0.0201202982558325,-1.37812516427891E-33,7.34366271496856E-19,0.0201202982558325,3.09652182247156E-18,0.0324145415197282,0,0,0,0,0,0,package://Full_Assembly/meshes/Left_Bogie_Back_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full_Assembly/meshes/Left_Bogie_Back_Wheel.STL,,SideBogie3-1/WheelSimple-2,Origin_Left_Connect_Back,Axis_Left_Connect_Back,Left_Connect_Back,continuous,0.082925,0.32306,-0.27488,-1.5708,0.51305,1.5708,Left_Bogie,1,0,0,0,0,0,0,,,,,,,,
Right_Bogie,-0.313254747777612,-0.18264536433249,0.0354994663678213,0,0,0,3.34124121849343,0.00508994978325339,2.4814466779376E-05,6.9485935182769E-09,0.00752780533653533,4.01185960582563E-09,0.0081827901963465,0,0,0,0,0,0,package://Full_Assembly/meshes/Right_Bogie.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Full_Assembly/meshes/Right_Bogie.STL,,Assemblage1-2/5913K72_Low-Profile Mounted Sealed Steel Ball Bearing-1;SideBogie3-2/BogieSubAssembly-1/ConnectorDesign7-2-1;SideBogie3-2/BogieSubAssembly-1/BogieLeg4Revised-1;SideBogie3-2/BogieSubAssembly-1/BogieLeg4Revised-2;SideBogie3-2/MotorSimple-1;SideBogie3-2/Finalmotorclamppart1-2;SideBogie3-2/Finalmotorclamppart2-1;SideBogie3-2/Finalmotorclamppart1-1;SideBogie3-2/Finalmotorclamppart2-2;SideBogie3-2/MotorSimple-2;SideBogie3-2/BogieSubAssembly-1/ConnectorDesign7-1;SideBogie3-2/BogieSubAssembly-1/58Shaft-1,Origin_Right_Connect,Axis_Right_Connect,Right_Connect,fixed,0.3105,-0.053202,-0.020263,1.5708,0,1.5708,Chassis_Frame,1,0,0,0,0,0,0,,,,,,,,
Right_Bogie_Front_Wheel,-0.0904301784153555,5.55111512312578E-17,0.0508000000000001,0,0,0,4.54890356187038,0.0201202982558325,-4.89110791271853E-33,-7.34366271496863E-19,0.0201202982558325,1.27619897151731E-17,0.0324145415197282,0,0,0,0,0,0,package://Full_Assembly/meshes/Right_Bogie_Front_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full_Assembly/meshes/Right_Bogie_Front_Wheel.STL,,SideBogie3-2/WheelSimple-2,Origin_Right_Connect_Front,Axis_Right_Connect_Front,Right_Connect_Front,continuous,0,-0.24426,0.1111,0,0,0,Right_Bogie,1,0,0,0,0,0,0,,,,,,,,
Right_Bogie_Back_Wheel,-0.130564845809256,-0.013836445813718,0.0508,0,0,0,4.54890356187038,0.0201202982558325,4.33680868994202E-19,-2.06450675522236E-18,0.0201202982558325,1.26266851207273E-17,0.0324145415197282,0,0,0,0,0,0,package://Full_Assembly/meshes/Right_Bogie_Back_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full_Assembly/meshes/Right_Bogie_Back_Wheel.STL,,SideBogie3-2/WheelSimple-1,Origin_Right_Connect_Back,Axis_Right_Connect_Back,Right_Connect_Back,continuous,-0.40606,-0.23955,0.1111,0,0,-0.10558,Right_Bogie,0.99443,0.10538,0,0,0,0,0,,,,,,,,
Back_Bogie,-0.000289279887737415,0.063617383840847,-0.0148260057036792,0,0,0,2.03126342918492,0.0076939410308437,-1.47557141759034E-05,-6.6684282943255E-09,0.00629537083030239,2.25382545207914E-08,0.00234582536528961,0,0,0,0,0,0,package://Full_Assembly/meshes/Back_Bogie.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full_Assembly/meshes/Back_Bogie.STL,,BackBogie3-1/MotorSimple-1;BackBogie3-1/Finalmotorclamppart3-2;BackBogie3-1/Finalmotorclamppart1-1;BackBogie3-1/BogieSubAssembly-1/BogieLeg4Revised-2;BackBogie3-1/BogieSubAssembly-1/ConnectorDesign7-2-1;BackBogie3-1/BogieSubAssembly-1/ConnectorDesign7-1;BackBogie3-1/BogieSubAssembly-1/58Shaft-1;Assemblage1-1/5913K72_Low-Profile Mounted Sealed Steel Ball Bearing-2;BackBogie3-1/BogieSubAssembly-1/BogieLeg4Revised-1;BackBogie3-1/MotorSimple-2;BackBogie3-1/Finalmotorclamppart1-2;BackBogie3-1/Finalmotorclamppart3-1,Origin_Back_Connect,Axis_Back_Connect,Back_Connect,fixed,0,-0.93191,-0.25941,1.5602,-0.010551,-1.5707,Chassis_Frame,0.00011134,0.010551,-0.99994,0,0,0,0,,,,,,,,
Back_Bogie_Left_Wheel,-1.14531348801572E-05,-0.00108536680223514,-0.0520615041256314,0,0,0,4.54890356187038,0.0201202982558325,-5.42101086242752E-20,-1.75552403538904E-17,0.0201202982558325,-1.1895911365396E-17,0.0324145415197282,0,0,0,0,0,0,package://Full_Assembly/meshes/Back_Bogie_Left_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full_Assembly/meshes/Back_Bogie_Left_Wheel.STL,,BackBogie3-1/WheelSimple-1,Origin_Back_Connect_Left,Axis_Back_Connect_Left,Back_Connect_Left,continuous,0,-0.00069199,0.32718,3.1416,0,3.1205,Back_Bogie,0.00011134,0.010551,0.99994,0,0,0,0,,,,,,,,
Back_Bogie_Right_Wheel,-1.11022302462516E-16,-0.00108528771922412,0.0520482833385267,0,0,0,4.54890356187038,0.0201202982558325,-1.56128184385634E-21,6.18841737345298E-18,0.0201202982558325,1.35498166506376E-16,0.0324145415197282,0,0,0,0,0,0,package://Full_Assembly/meshes/Back_Bogie_Right_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full_Assembly/meshes/Back_Bogie_Right_Wheel.STL,,BackBogie3-1/WheelSimple-2,Origin_Back_Connect_Right,Axis_Back_Connect_Right,Back_Connect_Right,continuous,-3.0207E-05,-0.0028626,-0.35685,3.1416,0,-0.010552,Back_Bogie,0,0.010552,-0.99994,,,,,,,,,,,,
Arm,-0.0477985055997259,-0.0352326124467943,0.00312955608244202,0,0,0,0.232083853065316,0.000808900388660283,-0.00045117057053435,3.23063350248503E-19,0.00108878956515546,2.88580132867235E-19,0.0018961637397099,0,0,0,0,0,0,package://Full_Assembly/meshes/Arm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full_Assembly/meshes/Arm.STL,,full-arm-assembly-REV3-1/axis2-assemblyREV2REV3-1/flange-coupling-connector-1;full-arm-assembly-REV3-1/axis2-assemblyREV2REV3-1/Axis 1 AssemblyREV2REV3-1/Base PlateREV2REV3-2,Origin_Arm,,Arm,fixed,0.017177,-0.37345,0.064678,-3.1416,0,2.2059,Chassis_Frame,0,0,0,,,,,,,,,,,,
Axis_1,0.00533143411780451,-0.00443747075635542,0.0621628028964215,0,0,0,0.806942884675543,0.000915177079263181,0.000130358110680842,-5.27078323383203E-05,0.000834903089479575,7.02912626220492E-05,0.00094963789281678,0,0,0,0,0,0,package://Full_Assembly/meshes/Axis_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Full_Assembly/meshes/Axis_1.STL,,full-arm-assembly-REV3-1/axis2-assemblyREV2REV3-1/Axis 1 AssemblyREV2REV3-1/2010N14_Face-Mount Crossed-Roller BearingREV2REV3-1;full-arm-assembly-REV3-1/axis2-assemblyREV2REV3-1/base-plate-a1REV2REV3-1;full-arm-assembly-REV3-1/axis2-assemblyREV2REV3-1/a1-a2-connection-circularREV2REV3-1;full-arm-assembly-REV3-1/axis2-assemblyREV2REV3-1/a1-a2-connection-circular-switchREV2REV3-1;full-arm-assembly-REV3-1/axis2-assemblyREV2REV3-1/A2-bearing-end-capREV2REV3-2;full-arm-assembly-REV3-1/axis2-assemblyREV2REV3-1/Nema23REV2REV3-1;full-arm-assembly-REV3-1/axis2-assemblyREV2REV3-1/gearbox-cover-rev1-1;full-arm-assembly-REV3-1/left-side-coverREV2REV3-2;full-arm-assembly-REV3-1/axis2-assemblyREV2REV3-1/neam23-motor-mountREV2REV3-1,Origin_J1,,J1,continuous,0,0.01,0,3.1416,0,-0.15031,Arm,0,0,0,,,,,,,,,,,,
Axis_2,-0.0792879650387348,-0.0374774475075469,-0.00119909962756731,0,0,0,1.11833636541395,0.0112903031926762,4.91795053354935E-06,9.59984967509602E-07,0.00141194104590659,7.46219989748416E-06,0.0110197921139019,0,0,0,0,0,0,package://Full_Assembly/meshes/Axis_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full_Assembly/meshes/Axis_2.STL,,full-arm-assembly-REV3-1/Link1 OptimizedREV2REV3-1/left-side-3-4 Link V2_Topology Study 2_smoothed_mesh_bodyREV2REV3-1;full-arm-assembly-REV3-1/Link1 OptimizedREV2REV3-1/cross-member-rev2-1;full-arm-assembly-REV3-1/Link1 OptimizedREV2REV3-1/cross-member-rev2-2;full-arm-assembly-REV3-1/Link1 OptimizedREV2REV3-1/cross-member-rev2-3;full-arm-assembly-REV3-1/Link1 OptimizedREV2REV3-1/cross-member-rev2-4;full-arm-assembly-REV3-1/right-side-bearing-shoulderREV2REV3-1;full-arm-assembly-REV3-1/Link1 OptimizedREV2REV3-1/nema23-1;full-arm-assembly-REV3-1/Link1 OptimizedREV2REV3-1/3-4 Link V2_Topology Study 2_smoothed_mesh_body-2;full-arm-assembly-REV3-1/Link1 OptimizedREV2REV3-1/tensioner-nema23-2,Origin_J2,,J2,continuous,0.1255,-0.050208,0.25442,2.1053,0,0.63509,Axis_1,0,0,0,,,,,,,,,,,,
Axis_3,-0.177860531990118,-0.229002221909752,-0.168526766868434,0,0,0,0.315238010654722,0.000287891199207417,2.11380283665009E-05,-1.05853873569157E-06,0.000297440212924729,-2.52338452951327E-06,0.000181117976352556,0,0,0,0,0,0,package://Full_Assembly/meshes/Axis_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full_Assembly/meshes/Axis_3.STL,,full-arm-assembly-REV3-1/13 mm Sprocket-1;full-arm-assembly-REV3-1/Axis-3-4-AssemblyREV2REV3-3/24 Tooth Sprocket-1;full-arm-assembly-REV3-1/Axis-3-4-AssemblyREV2REV3-3/axis-3-housing-nutsREV2REV3-2;full-arm-assembly-REV3-1/Axis-3-4-AssemblyREV2REV3-3/bearing-holder-axis3REV2REV3-2;full-arm-assembly-REV3-1/Elbow EndcapREV2REV3-3;full-arm-assembly-REV3-1/Axis-3-4-AssemblyREV2REV3-3/nema11REV2REV3-1;full-arm-assembly-REV3-1/Axis-3-4-AssemblyREV2REV3-3/nema11-bracketREV2REV3-1,Origin_J3,,J3,continuous,-0.23569,-0.087829,-0.0037519,1.5708,0.89688,-1.5708,Axis_2,0,0,0,,,,,,,,,,,,
Axis_4,-0.000728157152736608,0.000525658570672105,0.175741311829104,0,0,0,1.04432383241743,0.00525323858585558,3.11334770659038E-05,6.58925562122348E-06,0.00527392420385386,-4.75671087351871E-06,0.00131026306361566,0,0,0,0,0,0,package://Full_Assembly/meshes/Axis_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full_Assembly/meshes/Axis_4.STL,,full-arm-assembly-REV3-1/axis4 Driven SprocketREV2REV3-1;full-arm-assembly-REV3-1/Elbow EndcapREV2REV3-3;full-arm-assembly-REV3-1/New Wrist 2022 V9-1/Link 2 REV2-1;full-arm-assembly-REV3-1/New Wrist 2022 V9-1/motor-mount-1-nutsREV2REV3-1;full-arm-assembly-REV3-1/New Wrist 2022 V9-1/A5 Nema 14-1;full-arm-assembly-REV3-1/New Wrist 2022 V9-1/motor-mount-1REV2REV3-1;full-arm-assembly-REV3-1/New Wrist 2022 V9-1/A5 Housing-R2-1,Origin_J4,,J4,continuous,-0.19367,-0.18832,-0.1742,1.5708,0.94291,-2.2385,Axis_3,0,0,0,,,,,,,,,,,,
